Prompt,Response
Is Suffolk VA closer to Rogers AR or Pasadena CA?,"Rogers, AR"
Is Santa Maria CA closer to Norwalk CA or Myrtle Beach SC?,"Norwalk, CA"
Is High Point NC closer to Carson CA or Plantation FL?,"Carson, CA"
Is Kendale Lakes FL closer to Denton TX or Pueblo CO?,"Denton, TX"
Is Alameda CA closer to Twin Falls ID or Orland Park IL?,"Twin Falls, ID"
Is Milwaukee WI closer to Carmel IN or West Allis WI?,"Carmel, IN"
Is Casper WY closer to Iowa City IA or Norwalk CA?,"Iowa City, IA"
Is Fountainebleau FL closer to Waltham MA or Salinas CA?,"Waltham, MA"
Is Silver Spring MD closer to Lakewood CA or Framingham MA?,"Lakewood, CA"
Is Forney TX closer to Bangor ME or Merced CA?,"Bangor, ME"
Is Poughkeepsie NY closer to Sierra Vista AZ or San Clemente CA?,"Sierra Vista, AZ"
Is Sioux City IA closer to Duluth MN or Sierra Vista AZ?,"Duluth, MN"
Is Hacienda Heights CA closer to Augusta GA or Daytona Beach FL?,"Augusta, GA"
Is Palm Bay FL closer to Woodland CA or Newark OH?,"Woodland, CA"
Is Hammond IN closer to Pittsburg CA or Fargo ND?,"Pittsburg, CA"
Is Grand Forks ND closer to Greensboro NC or Nampa ID?,"Fargo, ND"
Is North Richland Hills TX closer to Anniston AL or Flint MI?,"Anniston, AL"
Is Palm Harbor FL closer to Moreno Valley CA or Greenville NC?,"Moreno Valley, CA"
Is Eastvale CA closer to Meriden CT or Spartanburg SC?,"Meriden, CT"
Is Evanston IL closer to Sparks NV or Davie FL?,"Sparks, NV"
Is North Charleston SC closer to Farmington Hills MI or Denton TX?,"Farmington Hills, MI"
Is Dover NH closer to Houston TX or Lompoc CA?,"Houston, TX"
Is Moore OK closer to Goodyear AZ or St. Cloud MN?,"Goodyear, AZ"
Is Fargo ND closer to Denton TX or Oshkosh WI?,"Denton, TX"
Is Milwaukee WI closer to Brockton MA or Overland Park KS?,"Brockton, MA"
Is Waterbury CT closer to Pontiac MI or Kingston NY?,"Pontiac, MI"
Is Amarillo TX closer to Shawnee KS or Lansing MI?,"Shawnee, KS"
Is Weirton WV closer to Evansville IN or Santa Barbara CA?,"Evansville, IN"
Is Casas Adobes AZ closer to Wheeling WV or Bowling Green KY?,"Wheeling, WV"
Is Murrieta CA closer to Pocatello ID or Buckeye AZ?,"Buckeye, AZ"
Is Denton TX closer to Jackson TN or Glendora CA?,"Jackson, TN"
Is San Bernardino CA closer to Owensboro KY or Sumter SC?,"Owensboro, KY"
Is Shawnee KS closer to Pembroke Pines FL or Lawrence KS?,"Pembroke Pines, FL"
Is Canton OH closer to Mansfield TX or La Crosse WI?,"Mansfield, TX"
Is Janesville WI closer to Apopka FL or Castro Valley CA?,"Apopka, FL"
Is Gulfport MS closer to Centreville VA or Riverview FL?,"Centreville, VA"
Is Yuma AZ closer to Trenton NJ or Asheville NC?,"Trenton, NJ"
Is Bloomington MN closer to Peabody MA or Alton IL?,"Peabody, MA"
Is Lakewood WA closer to San Juan PR or Florence AL?,"San Juan, PR"
Is Salinas CA closer to Santa Ana CA or Waterloo IA?,"Santa Ana, CA"
Is McAllen TX closer to San Rafael CA or Cranston RI?,"San Rafael, CA"
Is Hemet CA closer to Palm Beach Gardens FL or Irving TX?,"Palm Beach Gardens, FL"
Is New Brunswick NJ closer to Lowell MA or Delray Beach FL?,"Lowell, MA"
Is Grand Junction CO closer to Kettering OH or Kissimmee FL?,"Kettering, OH"
Is Saginaw MI closer to Mesquite TX or Lafayette IN?,"Mesquite, TX"
Is Novato CA closer to Mishawaka IN or Apex NC?,"Mishawaka, IN"
Is Shawnee KS closer to Winston-Salem NC or Alafaya FL?,"Winston-Salem, NC"
Is Lewisville TX closer to League City TX or Davenport IA?,"League City, TX"
Is Kalamazoo MI closer to Omaha NE or Beaumont TX?,"Omaha, NE"
Is Oshkosh WI closer to Springdale AR or Ellicott City MD?,"Ellicott City, MD"
Is Lima OH closer to Margate FL or Brooklyn NY?,"Brooklyn, NY"
Is Bellflower CA closer to Poughkeepsie NY or Casas Adobes AZ?,"Casas Adobes, AZ"
Is South Hill WA closer to Corpus Christi TX or Roanoke VA?,"Corpus Christi, TX"
Is The Hammocks FL closer to Pittsburg CA or Midland TX?,"Midland, TX"
Is Anniston AL closer to Fort Wayne IN or Pflugerville TX?,"Fort Wayne, IN"
Is Tulare CA closer to South Hill WA or Pasadena CA?,"Pasadena, CA"
Is Brentwood CA closer to Gilbert AZ or Winter Haven FL?,"Gilbert, AZ"
Is Dover NH closer to Springdale AR or West Lafayette IN?,"Dover, NH"
Is Santa Fe NM closer to Lake Forest CA or Tulare CA?,"Lake Forest, CA"
Is Oceanside CA closer to Lewiston ME or Danbury CT?,"Danbury, CT"
Is Fayetteville NC closer to Greenville SC or Skokie IL?,"Greenville, SC"
Is Dearborn MI closer to Antioch CA or Bullhead City AZ?,"Antioch, CA"
Is Edmond OK closer to Baytown TX or Seaside CA?,"Baytown, TX"
Is Collierville TN closer to Bremerton WA or Rocklin CA?,"Rocklin, CA"
Is Lenexa KS closer to Mayagüez PR or Clovis CA?,"Clovis, CA"
Is Conroe TX closer to Hoffman Estates IL or Middletown NY?,"Hoffman Estates, IL"
Is Union City NJ closer to Elk Grove CA or Kannapolis NC?,"Elk Grove, CA"
Is Denton TX closer to New Haven CT or Pine Hills FL?,"Pine Hills, FL"
Is Casa Grande AZ closer to Indio CA or Plantation FL?,"Indio, CA"
Is DeSoto TX closer to Albany OR or Downey CA?,"Downey, CA"
Is Sioux City IA closer to Meridian ID or Hesperia CA?,"Meridian, ID"
Is Casa Grande AZ closer to York PA or Blaine MN?,"Blaine, MN"
Is Menifee CA closer to Huntsville AL or Gardena CA?,"Gardena, CA"
Is Rancho Cordova CA closer to Kingston NY or Schaumburg IL?,"Kingston, NY"
Is New Rochelle NY closer to Orlando FL or Coconut Creek FL?,"Orlando, FL"
Is Aspen Hill MD closer to Stamford CT or Rocklin CA?,"Stamford, CT"
Is Lakewood CO closer to Lakewood CA or Alexandria LA?,"Lakewood, CA"
Is Johns Creek GA closer to Muskegon MI or Lake Jackson TX?,"Muskegon, MI"
Is Yuma AZ closer to Paramount CA or Charlottesville VA?,"Paramount, CA"
Is La Crosse WI closer to Hot Springs AR or Springfield MA?,"Hot Springs, AR"
Is Columbus IN closer to Cedar Rapids IA or Zephyrhills FL?,"Cedar Rapids, IA"
Is Bayonne NJ closer to Mandeville LA or Taylor MI?,"Mandeville, LA"
Is Kingsport TN closer to Napa CA or Ontario CA?,"Ontario, CA"
Is Springfield OR closer to Gaithersburg MD or Tempe AZ?,"Tempe, AZ"
Is Port Arthur TX closer to Kokomo IN or Menifee CA?,"Kokomo, IN"
Is Palm Desert CA closer to Jacksonville FL or Collierville TN?,"Jacksonville, FL"
Is Williamsburg VA closer to Waterloo IA or Wylie TX?,"Waterloo, IA"
Is Elgin IL closer to Casas Adobes AZ or Chicago IL?,"Chicago, IL"
Is Salt Lake City UT closer to Clearwater FL or Boynton Beach FL?,"Clearwater, FL"
Is Bay City MI closer to Edinburg TX or Sunrise Manor NV?,"Edinburg, TX"
Is Cedar Rapids IA closer to Lake Charles LA or Warwick RI?,"Lake Charles, LA"
Is Warner Robins GA closer to Spartanburg SC or Cedar Park TX?,"Spartanburg, SC"
Is Caldwell ID closer to Lancaster CA or St. Joseph MO?,"Lancaster, CA"
Is Paradise NV closer to Beaumont CA or Rockville MD?,"Beaumont, CA"
Is Arlington TX closer to Round Rock TX or Albany OR?,"Round Rock, TX"
Is Hagerstown MD closer to Redlands CA or Newark OH?,"Redlands, CA"
Is Reading PA closer to Wesley Chapel FL or Fairfield CA?,"Wesley Chapel, FL"
Is Sherman TX closer to Lafayette LA or San Luis Obispo CA?,"Lafayette, LA"
Is Bloomington IN closer to Hoffman Estates IL or Springfield MO?,"Hoffman Estates, IL"
Is Temecula CA closer to Hampton VA or Pomona CA?,"Pomona, CA"
Is Royal Oak MI closer to Lawrence MA or Roseville CA?,"Lawrence, MA"
Is Norman OK closer to North Little Rock AR or Burbank CA?,"North Little Rock, AR"
Is Canton OH closer to Spring Valley NV or Rock Hill SC?,"Spring Valley, NV"
Is Elkhart IN closer to Beckley WV or Vacaville CA?,"Beckley, WV"
Is Manhattan NY closer to Highlands Ranch CO or Monessen PA?,"Highlands Ranch, CO"
Is Chattanooga TN closer to Westland MI or Corona CA?,"Westland, MI"
Is Asheville NC closer to Peabody MA or Spokane Valley WA?,"Peabody, MA"
Is Taylorsville UT closer to Scranton PA or South Gate CA?,"Scranton, PA"
Is Diamond Bar CA closer to Burien WA or Milpitas CA?,"Burien, WA"
Is Levittown NY closer to High Point NC or Carlsbad CA?,"High Point, NC"
Is Ithaca NY closer to Knoxville TN or National City CA?,"Knoxville, TN"
Is Perris CA closer to Myrtle Beach SC or Hickory NC?,"Myrtle Beach, SC"
Is Santee CA closer to Dayton OH or Lewiston ID?,"Dayton, OH"
Is Corpus Christi TX closer to Flint MI or Porterville CA?,"Flint, MI"
Is Chesapeake VA closer to Philadelphia PA or Peoria AZ?,"Philadelphia, PA"
Is Meriden CT closer to Grants Pass OR or Harlingen TX?,"Grants Pass, OR"
Is Casas Adobes AZ closer to Milwaukee WI or San Clemente CA?,"Milwaukee, WI"
Is Jefferson City MO closer to Savannah GA or Mesquite TX?,"Savannah, GA"
Is Sunnyvale CA closer to Yorba Linda CA or Springdale AR?,"Yorba Linda, CA"
Is Trenton NJ closer to Billings MT or Mishawaka IN?,"Billings, MT"
Is Twin Falls ID closer to Loveland CO or Bloomington IL?,"Loveland, CO"
Is Spring TX closer to Pompano Beach FL or Clearwater FL?,"Pompano Beach, FL"
Is St. Cloud MN closer to Wyoming MI or High Point NC?,"Wyoming, MI"
Is Albuquerque NM closer to Bethlehem PA or Odessa TX?,"Bethlehem, PA"
Is Union City CA closer to Grand Forks ND or Lynwood CA?,"Lynwood, CA"
Is Edinburg TX closer to Santa Cruz CA or Lewisville TX?,"Santa Cruz, CA"
Is Delray Beach FL closer to Concord CA or Hattiesburg MS?,"Concord, CA"
Is Little Rock AR closer to South Lyon MI or El Paso TX?,"South Lyon, MI"
Is Charlottesville VA closer to Zephyrhills FL or Sioux City IA?,"Zephyrhills, FL"
Is Montebello CA closer to Fremont CA or Paramount CA?,"Fremont, CA"
Is Texas City TX closer to West Des Moines IA or Dothan AL?,"West Des Moines, IA"
Is Lacey WA closer to Cookeville TN or Corona CA?,"Cookeville, TN"
Is Eagle Pass TX closer to Clifton NJ or Houston TX?,"Clifton, NJ"
Is Fort Lauderdale FL closer to Lincoln NE or New Britain CT?,"Lincoln, NE"
Is The Woodlands TX closer to Cambridge MA or Bellflower CA?,"Cambridge, MA"
Is Cleveland TN closer to Joliet IL or Rowland Heights CA?,"Joliet, IL"
Is Davis CA closer to Parma OH or Bethesda MD?,"Parma, OH"
Is Riverview FL closer to Olympia WA or Harrisonburg VA?,"Olympia, WA"
Is Hollywood FL closer to Galveston TX or West Valley City UT?,"Galveston, TX"
Is High Point NC closer to Kokomo IN or North Las Vegas NV?,"Kokomo, IN"
Is Utica NY closer to Mesa AZ or Kissimmee FL?,"Mesa, AZ"
Is Alhambra CA closer to Franklin TN or Concord CA?,"Franklin, TN"
Is Wellington FL closer to Richland WA or Margate FL?,"Richland, WA"
Is Bloomington MN closer to Parkersburg WV or Columbia MD?,"Parkersburg, WV"
Is Bentonville AR closer to Allen TX or Pocatello ID?,"Allen, TX"
Is Orem UT closer to Milpitas CA or Waukegan IL?,"Milpitas, CA"
Is Carbondale IL closer to Salt Lake City UT or Merced CA?,"Salt Lake City, UT"
Is Altoona PA closer to Escondido CA or Hoover AL?,"Hoover, AL"
Is Albany OR closer to Moore OK or Carson City NV?,"Carson City, NV"
Is Georgetown TX closer to Montgomery AL or Towson MD?,"Montgomery, AL"
Is Pinellas Park FL closer to Clovis CA or Mayagüez PR?,"Clovis, CA"
Is Arlington VA closer to Lodi CA or Palm Coast FL?,"Palm Coast, FL"
Is Cranston RI closer to Kentwood MI or Bay City MI?,"Kentwood, MI"
Is Provo UT closer to Lehigh Acres FL or Longmont CO?,"Longmont, CO"
Is Reading PA closer to Amarillo TX or Normal IL?,"Normal, IL"
Is Avondale AZ closer to Bismarck ND or San Luis Obispo CA?,"San Luis Obispo, CA"
Is Collierville TN closer to Margate FL or West New York NJ?,"Margate, FL"
Is National City CA closer to Rome GA or Margate FL?,"Rome, GA"
Is Fresno CA closer to Sioux Falls SD or West Palm Beach FL?,"Sioux Falls, SD"
Is Boulder CO closer to Ellicott City MD or Dallas TX?,"Dallas, TX"
Is Rapid City SD closer to Leominster MA or Gulfport MS?,"Leominster, MA"
Is Pembroke Pines FL closer to Maricopa AZ or Grand Junction CO?,"Maricopa, AZ"
Is St. Peters MO closer to Delray Beach FL or Brooklyn NY?,"Delray Beach, FL"
Is Davis CA closer to Waterloo IA or Grand Island NE?,"Waterloo, IA"
Is Overland Park KS closer to North Little Rock AR or Moreno Valley CA?,"North Little Rock, AR"
Is Sheboygan WI closer to Westminster CA or Eden Prairie MN?,"Eden Prairie, MN"
Is Orange CA closer to Stockton CA or Fort Wayne IN?,"Stockton, CA"
Is Rock Hill SC closer to South Whittier CA or Seaside CA?,"South Whittier, CA"
Is Jurupa Valley CA closer to Herriman UT or Rochester MN?,"Herriman, UT"
Is Indio CA closer to Madera CA or Lehi UT?,"Madera, CA"
Is Lakewood WA closer to Los Lunas NM or Milwaukee WI?,"Milwaukee, WI"
Is Goldsboro NC closer to Hickory NC or Chattanooga TN?,"Hickory, NC"
Is South Bend IN closer to Clifton NJ or Stonecrest GA?,"Clifton, NJ"
Is Coeur d'Alene ID closer to Tucson AZ or Cape Coral FL?,"Tucson, AZ"
Is Spring Valley NV closer to Milford city  CT or Decatur AL?,"Milford city , CT"
Is Kalamazoo MI closer to Hattiesburg MS or Odessa TX?,"Hattiesburg, MS"
Is Ames IA closer to Lawrence MA or Glendora CA?,"Lawrence, MA"
Is Lake Forest CA closer to Waukesha WI or Wichita KS?,"Waukesha, WI"
Is Novi MI closer to Compton CA or Lauderhill FL?,"Compton, CA"
Is Brentwood CA closer to Rochester MN or Cheyenne WY?,"Rochester, MN"
Is San Mateo CA closer to Tigard OR or Norwich CT?,"Tigard, OR"
Is Cheyenne WY closer to Carson City NV or Zephyrhills FL?,"Carson City, NV"
Is Rochester MN closer to Youngstown OH or Plantation FL?,"Youngstown, OH"
Is Great Falls MT closer to Anderson SC or North Las Vegas NV?,"Anderson, SC"
Is Raleigh NC closer to Glendora CA or Winchester VA?,"Winchester, VA"
Is Harrisburg PA closer to Beaumont TX or Gilroy CA?,"Gilroy, CA"
Is El Monte CA closer to Caguas PR or Pasadena CA?,"Pasadena, CA"
Is Levittown NY closer to Sunrise FL or Torrance CA?,"Sunrise, FL"
Is Highland CA closer to Fayetteville NC or Sparks NV?,"Fayetteville, NC"
Is Provo UT closer to Watertown NY or Rosemead CA?,"Watertown, NY"
Is Kendale Lakes FL closer to Kokomo IN or Lauderhill FL?,"Lauderhill, FL"
Is Cheyenne WY closer to Millcreek UT or Kissimmee FL?,"Millcreek, UT"
Is Lancaster PA closer to Coon Rapids MN or Haverhill MA?,"Coon Rapids, MN"
Is Michigan City IN closer to Elyria OH or Jefferson City MO?,"Elyria, OH"
Is Gulfport MS closer to Prescott Valley AZ or Port St. Lucie FL?,"Prescott Valley, AZ"
Is Staunton VA closer to Saginaw MI or Lancaster CA?,"Saginaw, MI"
Is Boulder CO closer to Fort Collins CO or Simi Valley CA?,"Fort Collins, CO"
Is New Brunswick NJ closer to Dale City VA or Auburn WA?,"Dale City, VA"
Is Lewiston ID closer to Pittsburgh PA or San Juan PR?,"Pittsburgh, PA"
Is Severn MD closer to Hamilton OH or Bronx NY?,"Hamilton, OH"
Is Bartlett TN closer to Farmington Hills MI or St. George UT?,"Farmington Hills, MI"
Is New Haven CT closer to Blacksburg VA or Abilene TX?,"Blacksburg, VA"
Is Zephyrhills FL closer to Charlottesville VA or Baldwin Park CA?,"Charlottesville, VA"
Is Washington DC closer to Newton MA or Hammond LA?,"Newton, MA"
Is Pompano Beach FL closer to Smyrna GA or Lake Charles LA?,"Smyrna, GA"
Is Mansfield OH closer to Castro Valley CA or South Gate CA?,"Castro Valley, CA"
Is Anchorage AK closer to Passaic NJ or Kenner LA?,"Passaic, NJ"
Is Baytown TX closer to Cupertino CA or Ames IA?,"Cupertino, CA"
Is Quincy MA closer to Richardson TX or Carbondale IL?,"Richardson, TX"
Is Burien WA closer to Frederick MD or Riverside CA?,"Frederick, MD"
Is Owensboro KY closer to Madison WI or South Jordan UT?,"Madison, WI"
Is Louisville KY closer to Wheaton IL or Manchester NH?,"Wheaton, IL"
Is Owensboro KY closer to Chico CA or Mount Vernon NY?,"Chico, CA"
Is Fullerton CA closer to Yucaipa CA or Bossier City LA?,"Yucaipa, CA"
Is Danbury CT closer to League City TX or Watsonville CA?,"League City, TX"
Is Columbus GA closer to Hattiesburg MS or Union City CA?,"Hattiesburg, MS"
Is Hollywood FL closer to Pittsburgh PA or Savannah GA?,"Pittsburgh, PA"
Is New York NY closer to Garland TX or Apopka FL?,"Garland, TX"
Is Madison AL closer to Farmington Hills MI or Maple Grove MN?,"Farmington Hills, MI"
Is Cleveland OH closer to Newton MA or DeKalb IL?,"Newton, MA"
Is Vista CA closer to Brooklyn NY or Rockford IL?,"Brooklyn, NY"
Is Cathedral City CA closer to Nashville TN or Midland MI?,"Nashville, TN"
Is Chico CA closer to Tyler TX or Lake Charles LA?,"Tyler, TX"
Is Hartford CT closer to Brockton MA or Scottsdale AZ?,"Brockton, MA"
Is Memphis TN closer to Moreno Valley CA or Brentwood CA?,"Moreno Valley, CA"
Is Baytown TX closer to Woodland CA or Bloomington IL?,"Woodland, CA"
Is Fort Collins CO closer to Peoria AZ or Blacksburg VA?,"Peoria, AZ"
Is Alton IL closer to Stockton CA or Hammond LA?,"Stockton, CA"
Is Salt Lake City UT closer to Lenexa KS or Hazleton PA?,"Lenexa, KS"
Is Redwood City CA closer to Panama City FL or Virginia Beach VA?,"Panama City, FL"
Is Tinley Park IL closer to Novi MI or Santa Fe NM?,"Novi, MI"
Is Fishers IN closer to Miami Gardens FL or Bangor ME?,"Miami Gardens, FL"
Is Sunrise Manor NV closer to Pottstown PA or Yucaipa CA?,"Pottstown, PA"
Is Fayetteville AR closer to Eden Prairie MN or Pottstown PA?,"Eden Prairie, MN"
Is San Marcos TX closer to Columbia SC or Lebanon PA?,"Columbia, SC"
Is Inglewood CA closer to Washington DC or Honolulu HI?,"Washington, DC"
Is Fresno CA closer to Clifton NJ or Staunton VA?,"Clifton, NJ"
Is Bellevue NE closer to Lehi UT or Union City CA?,"Lehi, UT"
Is Pasadena TX closer to Warner Robins GA or Orland Park IL?,"Warner Robins, GA"
Is Minneapolis MN closer to New Bedford MA or Cupertino CA?,"New Bedford, MA"
Is Southaven MS closer to Carson CA or Queens NY?,"Carson, CA"
Is Milford CT closer to Lexington KY or St. Peters MO?,"Lexington, KY"
Is Redwood City CA closer to Shawnee KS or Williamsport PA?,"Shawnee, KS"
Is Rancho Cucamonga CA closer to Ithaca NY or Perris CA?,"Ithaca, NY"
Is Birmingham AL closer to Albuquerque NM or Hanover PA?,"Albuquerque, NM"
Is White Plains NY closer to Cheyenne WY or Danbury CT?,"Danbury, CT"
Is Weymouth MA closer to Tulsa OK or Bangor ME?,"Tulsa, OK"
Is Sugar Land TX closer to Mount Pleasant SC or Montgomery AL?,"Mount Pleasant, SC"
Is Ellicott City MD closer to Moore OK or Sacramento CA?,"Moore, OK"
Is Carrollton TX closer to Fort Smith AR or Eau Claire WI?,"Fort Smith, AR"
Is Athens GA closer to Summerville SC or Odessa TX?,"Summerville, SC"
Is Buffalo NY closer to Spartanburg SC or Weirton WV?,"Spartanburg, SC"
Is Westland MI closer to Sebring FL or Peabody MA?,"Peabody, MA"
Is Millcreek UT closer to Bellingham WA or Hampton VA?,"Bellingham, WA"
Is Seattle WA closer to Arlington VA or Salinas CA?,"Salinas, CA"
Is Burien WA closer to Odessa TX or Grand Forks ND?,"Grand Forks, ND"
Is Mansfield TX closer to Bowling Green KY or Richland WA?,"Bowling Green, KY"
Is South Hill WA closer to Bayonne NJ or Warren MI?,"Bayonne, NJ"
Is Decatur AL closer to Nashua NH or Topeka KS?,"Topeka, KS"
Is Hoboken NJ closer to Racine WI or Miami Beach FL?,"Miami Beach, FL"
Is Manchester NH closer to Greensboro NC or Georgetown TX?,"Greensboro, NC"
Is Pinellas Park FL closer to Hazleton PA or Fountain Valley CA?,"Hazleton, PA"
Is Novi MI closer to Ann Arbor MI or Middletown NY?,"Ann Arbor, MI"
Is Hacienda Heights CA closer to Buckeye AZ or Raleigh NC?,"Buckeye, AZ"
Is Glens Falls NY closer to San Jose CA or Euless TX?,"Euless, TX"
Is Anderson IN closer to Lacey WA or Brownsville TX?,"Lacey, WA"
Is Cary NC closer to New Haven CT or Portland ME?,"New Haven, CT"
Is Palm Coast FL closer to Dover DE or Buffalo NY?,"Dover, DE"
Is Watsonville CA closer to Town 'n' Country FL or Vista CA?,"Town 'n' Country, FL"
Is Mount Vernon WA closer to Lewisville TX or El Monte CA?,"Lewisville, TX"
Is Bentonville AR closer to Redding CA or Allentown PA?,"Redding, CA"
Is Beloit WI closer to San Marcos CA or West Haven CT?,"San Marcos, CA"
Is Toledo OH closer to Vallejo CA or Waterbury CT?,"Vallejo, CA"
Is Prescott Valley AZ closer to Livermore CA or Smyrna GA?,"Livermore, CA"
Is Spring Hill FL closer to Harrisonburg VA or Casper WY?,"Harrisonburg, VA"
Is Lake Jackson TX closer to Newark NJ or Woodland CA?,"Newark, NJ"
Is Albany NY closer to Tamarac FL or Alameda CA?,"Tamarac, FL"
Is Houma LA closer to Gadsden AL or Warren MI?,"Gadsden, AL"
Is Benton Harbor MI closer to Bronx NY or Newark OH?,"Bronx, NY"
Is Pittsburgh PA closer to Conroe TX or Oshkosh WI?,"Conroe, TX"
Is Sunrise FL closer to Hammond IN or Tulare CA?,"Hammond, IN"
Is Hanover PA closer to St. Joseph MO or Laguna Niguel CA?,"St. Joseph, MO"
Is Davenport IA closer to South Jordan UT or Maricopa AZ?,"South Jordan, UT"
Is New Braunfels TX closer to Atlanta GA or Hinesville GA?,"Atlanta, GA"
Is Danbury CT closer to Hendersonville TN or Kenner LA?,"Hendersonville, TN"
Is Port Orange FL closer to Fort Myers FL or Arlington TX?,"Fort Myers, FL"
Is Petaluma CA closer to Woodbury MN or Escondido CA?,"Woodbury, MN"
Is San Juan PR closer to Plymouth MN or Kendale Lakes FL?,"Plymouth, MN"
Is Denton TX closer to Madera CA or Santee CA?,"Madera, CA"
Is Waltham MA closer to Killeen TX or Midland MI?,"Killeen, TX"
Is Brooklyn Park MN closer to Stonecrest GA or Sparks NV?,"Stonecrest, GA"
Is Nampa ID closer to Grand Island NE or Knoxville TN?,"Grand Island, NE"
Is St. Cloud FL closer to Garland TX or Florence-Graham CA?,"Garland, TX"
Is Aspen Hill MD closer to Mesa AZ or Harlingen TX?,"Mesa, AZ"
Is Scranton PA closer to Carlsbad CA or College Station TX?,"Carlsbad, CA"
Is Layton UT closer to Taylorsville UT or Pleasanton CA?,"Taylorsville, UT"
Is Livonia MI closer to Lenexa KS or New Brunswick NJ?,"Lenexa, KS"
Is Spring TX closer to Knoxville TN or Philadelphia PA?,"Knoxville, TN"
Is Hampton VA closer to College Station TX or Tacoma WA?,"College Station, TX"
Is Taylor MI closer to Oakland CA or Glendale CA?,"Oakland, CA"
Is Miami Gardens FL closer to Mission TX or St. George UT?,"Mission, TX"
Is Nashville TN closer to Mesa AZ or Brentwood CA?,"Mesa, AZ"
Is Gadsden AL closer to Malden MA or Chula Vista CA?,"Malden, MA"
Is Westminster CA closer to Boynton Beach FL or Brooklyn Park MN?,"Boynton Beach, FL"
Is Coeur d'Alene ID closer to Poinciana FL or Hoboken NJ?,"Poinciana, FL"
Is Minnetonka MN closer to Fairbanks AK or Davis CA?,"Fairbanks, AK"
Is White Plains NY closer to Olympia WA or Elizabeth NJ?,"Elizabeth, NJ"
Is Columbia MO closer to Ames IA or Plantation FL?,"Ames, IA"
Is Eau Claire WI closer to East Orange NJ or Jackson TN?,"East Orange, NJ"
Is Salem OR closer to Bozeman MT or Fall River MA?,"Bozeman, MT"
Is Scranton PA closer to Palo Alto CA or Rancho Cordova CA?,"Palo Alto, CA"
Is Fort Myers FL closer to Texarkana TX or Rochester NY?,"Texarkana, TX"
Is Yucaipa CA closer to Carmichael CA or Pflugerville TX?,"Carmichael, CA"
Is Jacksonville NC closer to Hemet CA or Rock Hill SC?,"Hemet, CA"
Is Moore OK closer to Newark OH or Sarasota FL?,"Newark, OH"
Is Clearwater FL closer to Houma LA or Shawnee KS?,"Houma, LA"
Is Santa Ana CA closer to Pasadena TX or San Diego CA?,"San Diego, CA"
Is Hayward CA closer to Huntersville NC or Chapel Hill NC?,"Huntersville, NC"
Is Rosemead CA closer to East Orange NJ or Colton CA?,"East Orange, NJ"
Is Elizabethtown KY closer to Kokomo IN or Coral Springs FL?,"Kokomo, IN"
Is Casa Grande AZ closer to Eastvale CA or Winchester VA?,"Eastvale, CA"
Is South Fulton GA closer to Westminster CO or Eau Claire WI?,"Westminster, CO"
Is Antioch CA closer to Grants Pass OR or Lewiston ME?,"Grants Pass, OR"
Is Lewiston ID closer to Corvallis OR or Tamiami FL?,"Corvallis, OR"
Is Evansville IN closer to Clarksville TN or McKinney TX?,"Clarksville, TN"
Is Frederick MD closer to South Fulton GA or Casas Adobes AZ?,"South Fulton, GA"
Is St. Augustine FL closer to Lake Havasu City AZ or Gilbert AZ?,"Lake Havasu City, AZ"
Is Rowland Heights CA closer to Lake Charles LA or Middletown OH?,"Lake Charles, LA"
Is Tracy CA closer to League City TX or Fort Wayne IN?,"League City, TX"
Is Federal Way WA closer to Ankeny IA or Encinitas CA?,"Ankeny, IA"
Is Marietta GA closer to Port Orange FL or San Luis Obispo CA?,"Port Orange, FL"
Is Warwick RI closer to Frisco TX or Lawrence KS?,"Frisco, TX"
Is Chula Vista CA closer to Decatur IL or Austin TX?,"Decatur, IL"
Is Columbia MD closer to Wausau WI or Daly City CA?,"Wausau, WI"
Is Wichita KS closer to East Orange NJ or Chattanooga TN?,"East Orange, NJ"
Is New Braunfels TX closer to Temecula CA or Grand Island NE?,"Temecula, CA"
Is Coral Springs FL closer to Panama City FL or Kannapolis NC?,"Panama City, FL"
Is Twin Falls ID closer to Philadelphia PA or Mansfield OH?,"Philadelphia, PA"
Is Palm Desert CA closer to McAllen TX or Rancho Cucamonga CA?,"McAllen, TX"
Is Southfield MI closer to Longview TX or Santa Cruz CA?,"Longview, TX"
Is Zephyrhills FL closer to Mesa AZ or San Francisco CA?,"Mesa, AZ"
Is Aliso Viejo CA closer to Guaynabo PR or Alexandria VA?,"Guaynabo, PR"
Is Huntersville NC closer to South San Francisco CA or Guaynabo PR?,"South San Francisco, CA"
Is San Marcos CA closer to Lakewood CA or Pembroke Pines FL?,"Lakewood, CA"
Is Lawton OK closer to Spring Hill FL or Albany NY?,"Spring Hill, FL"
Is Overland Park KS closer to Lewisville TX or Shoreline WA?,"Lewisville, TX"
Is Orange CA closer to Yucaipa CA or Jersey City NJ?,"Yucaipa, CA"
Is Sunnyvale CA closer to Rocky Mount NC or Santa Ana CA?,"Santa Ana, CA"
Is Cathedral City CA closer to Delray Beach FL or Buckeye AZ?,"Buckeye, AZ"
Is West Covina CA closer to Mauldin SC or West Palm Beach FL?,"Mauldin, SC"
Is Round Rock TX closer to Sherman TX or Mount Vernon NY?,"Sherman, TX"
Is Sherman TX closer to Renton WA or New Braunfels TX?,"Renton, WA"
